symbol,yesterdays close,todays close,yesterdays volatility,todays volatility,avg traded volume,todays volume,avg % deliverable volume,todays % deliverable volume,avg intraday volume per trade,todays intraday volume per trade,margin
ICIL,111.55,110.35,3.81,3.6999999999999997,2183189.1904761903,763987,23.504761904761903,23.49,130.28203452496376,138.15326251477194,13
JINDALSTEL,161.7,162.65,3.5000000000000004,3.4000000000000004,8711560.42857143,10970776,25.16523809523809,11.38,162.72830268442223,205.69334598231285,8
ANDHRABANK,55.8,55.7,2.79,2.71,6854484.095238095,5519112,15.298095238095238,28.66,349.22577986577323,224.70805277936307,14
JSWENERGY,81.05,79.75,2.75,2.7,13220988.238095239,8486811,32.89666666666667,26.95,323.4712886763931,364.1905325442049,13
INDIACEM,178.85,180.05,2.5700000000000003,2.5,4200966,2018889,26.044285714285714,16.78,109.74313962843664,118.77832632025451,11
KTKBANK,153.35,163.45,2.01,2.5,3263633.8571428573,17351640,26.698571428571427,14.8,122.95327904932059,166.92558240368547,14
DLF,172.85,172.95,2.5700000000000003,2.4899999999999998,7825722.142857143,4538752,17.30047619047619,10.05,162.40625049475915,161.5402771337,7
BIOCON,371.85,370.65,2.4,2.33,1972691.6666666667,1204520,27.318571428571424,24.02,55.22307967525751,58.531228958813,9
KPIT,130.45,128.25,2.3,2.27,1084008.0952380951,849490,30.0247619047619,23.41,89.47175114108168,74.1283343967187,8
SAIL,56.05,57.95,2.15,2.2399999999999998,4971061.80952381,9198756,28.053809523809523,39.01,297.3046169863211,253.73439846230383,11
L&TFH,203.1,204.6,2.23,2.17,6716642.333333333,5515114,29.451428571428572,20.75,115.29639621628009,146.19285697561628,11
SYNDIBANK,65.95,66.2,2.15,2.09,1994890.2857142857,1764166,18.447619047619042,9.13,233.75199978887673,376.4907572099577,14
HEXAWARE,275.2,275.7,2.15,2.08,706037.3333333334,467852,19.859523809523814,28.37,52.24071584920481,42.62016884140913,11
TATAGLOBAL,212,210.25,2.13,2.08,3572146.904761905,3171251,28.536666666666672,38.59,125.17139585138037,150.9545956980079,9
BANKINDIA,132.4,136,2,2.0500000000000003,2597265,3990417,15.183809523809527,13.97,153.7694562035061,193.0470530900298,14
ORIENTBANK,114.15,114.95,2.1,2.04,2042915.5238095238,2380650,14.088571428571429,10.2,159.32881216311603,184.53376780319377,14
UNIONBANK,126.8,127.65,2.02,1.97,2986246.5714285714,2807411,23.652380952380952,14.66,139.68802980488658,170.83888672276098,13
HINDZINC,314.75,320.25,1.8900000000000001,1.8800000000000001,1465537.0952380951,2059358,37.68714285714285,26.95,44.446867391527476,49.74738819444445,11
NMDC,119.4,120.45,1.73,1.69,2331918.095238095,1802611,36.84714285714286,26.98,117.3466807219152,154.8002531106668,11
DCBBANK,188.75,191.45,1.6099999999999999,1.6,1333755.8095238095,1140069,32.55380952380951,24.89,83.3932986622068,95.95538165620798,14
CANBK,303.65,308.5,1.55,1.55,1907974.380952381,2375079,18.81904761904762,10.46,85.0325134669962,84.72017116564417,14
BANKBARODA,138.55,139.55,1.49,1.46,9409642.952380951,5536201,30.99476190476191,13.65,147.8097030683077,149.77472158343255,14